,Unnamed: 0,Driver ID,Driver Onboard Date,Number of Rides,Average Ride Distance in Miles,Average Ride Duration in Minutes,Percentage of Prime Rides: ,Total Revenue: ,Average Ride Revenue,Week 1 Rides,Week 2 Rides,Week 3 Rides,Week 4 Rides,Week 5 Rides,Week 6 Rides,Week 7 Rides,Week 8 Rides,Week 9 Rides,Week 10 Rides,Week 11 Rides,Week 12 Rides,Week 13 Rides,First Ride Week,Last Ride Week
0,0,002be0ffdc997bd5c50703158b7c2491,2016-03-29,277,3.9038516091916335,13.311552346570398,39.71119133574008,3654.9885705589472,13.194904586855404,26,11,43,29,3,10,3,26,14,35,41,17,19,1,13
1,1,007f0389f9c7b03ef97098422f902e62,2016-03-29,31,2.355824487457692,11.01989247311828,38.70967741935485,332.43244808637905,10.72362735762513,1,1,0,5,6,3,0,6,0,5,0,2,2,1,13
2,2,011e5c5dfc5c2c92501b8b24d47509bc,2016-04-05,34,4.928088898700892,14.316176470588234,47.058823529411775,494.2408902966432,14.536496773430686,0,7,4,0,1,5,2,5,5,0,5,0,0,2,11
3,3,0152a2f305e71d26cc964f8d4411add9,2016-04-23,191,4.7863235795598165,15.228708551483418,25.130890052356023,2646.746561072656,13.857311838076733,0,0,0,0,25,17,14,0,24,24,25,20,42,5,13
4,4,01674381af7edd264113d4e6ed55ecda,2016-04-29,375,5.175859254932664,15.886355555555555,26.4,5463.347538957997,14.56892677055466,0,0,0,0,5,50,46,36,51,42,40,51,54,5,13
5,5,01788cf817698fe68eaecd7eb18b2f72,2016-05-06,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
6,6,0213f8b59219e32142711992ca4ec01f,2016-04-07,240,4.038705307765916,12.491527777777776,23.75,2984.4727416808532,12.435303090336891,0,14,45,43,60,78,0,0,0,0,0,0,0,2,6
7,7,021e5cd15ef0bb3ec20a12af99e142b3,2016-05-07,53,3.0209266613689763,15.863836477987425,49.0566037735849,707.2421109616362,13.344190772861063,0,0,0,0,0,4,4,11,12,4,1,1,16,6,13
8,8,0258e250ca195cc6258cbdc75aecd853,2016-04-26,302,5.071004386068512,14.854028697571746,29.470198675496693,4340.8650853175795,14.373725448071456,0,0,0,0,17,17,26,50,21,37,49,45,40,5,13
9,9,028b5a4dcd7f4924ebfabcf2e814c014,2016-05-06,363,5.0542098927264165,16.09591368227732,27.54820936639118,5267.093493089297,14.509899429998065,0,0,0,0,0,23,33,41,52,51,74,39,50,6,13
10,10,02d6a6b8a6da15fc219a9570f7ebbe78,2016-05-03,62,16.032609240333745,25.937365591397853,9.677419354838712,1570.0118668128962,25.32277204536929,0,0,0,0,0,13,7,9,2,0,9,15,7,6,13
