,First Ride Week,Last Ride Week,Driver ID
0,1,13,002be0ffdc997bd5c50703158b7c2491
1,1,13,007f0389f9c7b03ef97098422f902e62
2,2,11,011e5c5dfc5c2c92501b8b24d47509bc
3,5,13,0152a2f305e71d26cc964f8d4411add9
4,5,13,01674381af7edd264113d4e6ed55ecda
5,-1,-1,01788cf817698fe68eaecd7eb18b2f72
6,2,6,0213f8b59219e32142711992ca4ec01f
7,6,13,021e5cd15ef0bb3ec20a12af99e142b3
8,5,13,0258e250ca195cc6258cbdc75aecd853
9,6,13,028b5a4dcd7f4924ebfabcf2e814c014
10,6,13,02d6a6b8a6da15fc219a9570f7ebbe78
11,1,8,02e440f6c209206375833cef02e0cbae
12,2,13,036f3d94e7c65e4e3574822d31c72656
13,3,11,039c5afbca8e03e4c18d9c8ea94140ac
14,6,13,039da9c077e17af98ca8530e4d7975f1
15,2,13,03f2b5c74cb89f39e58711699e76bf39
16,3,13,03f5278eb43475aa6790f5be32463755
17,2,3,0430df9a3eb327122c57ee3a64765000
18,2,6,04c4ffa5a385eab86fa7e422263d2999
19,7,13,04d686ef2fba281e395992a28f14fdd3
20,3,13,052bba06c5fc0bdea4bc2f9cb92b37c7
21,7,13,059ed570673c2d15ca11dd6b3a25513b
22,2,13,05addf442c147875efa5cf53453ad47b
23,7,11,05bad02e08c7f849e91dc1259da8b4ec
24,5,13,0656192a402808805282e60761bda088
25,7,9,06b1ba06e5505f8218ec8686498f990a
26,4,13,06c848ab3a7fc5421e82e98850a81710
27,2,13,07dd442e3e0b9f0f9b0d69c7b47cbb06
28,7,12,07e6a2fdaadc640cca9a7bec41351065
29,2,13,081d8ba3bc9a00a481df02bd9d0a4c53
30,6,10,0822973f3e812a68a867962dbbd37f5d
31,3,13,08a1491d6a804e0af969f08252ddbbd8
32,4,13,08b2b063cce8d02495c4b880293f153c
33,1,13,0938ed763cb3129ae63607aaf69daff5
34,6,10,0abc4faab8bbdf4d62412655fe0a2398
35,2,13,0afc0241296972b583debd7c5f5c707c
36,7,11,0b10af0ede0648dbe6ae05813c5cbf1b
37,3,13,0b631e16fa61f7321da18cf35a076d5f
38,1,13,0c02bd2b09f7193103279ab9b760b777
39,4,13,0ca501b2a1d72e80e0d0cd2c25bdd124
40,7,13,0d53c0441daccbb9022ccdcd2a58c7f7
41,2,13,0e7f0f05c7e193b1774c2e5713741cd4
42,6,13,0efa2b92642c1e6db77406bb3761baf4
43,1,4,0eff1404b137a5562642f0f706e59f25
44,2,13,0f057c0c73054f569a59a0880b91cbb0
45,3,13,0f346940b7c9dc770d408b1063ed2f81
46,2,13,100979abe35f7761f333bb7e63649767
