,Number of Days Driven,Driver ID
0,56,002be0ffdc997bd5c50703158b7c2491
1,12,007f0389f9c7b03ef97098422f902e62
2,12,011e5c5dfc5c2c92501b8b24d47509bc
3,40,0152a2f305e71d26cc964f8d4411add9
4,40,01674381af7edd264113d4e6ed55ecda
5,0,01788cf817698fe68eaecd7eb18b2f72
6,25,0213f8b59219e32142711992ca4ec01f
7,17,021e5cd15ef0bb3ec20a12af99e142b3
8,42,0258e250ca195cc6258cbdc75aecd853
9,39,028b5a4dcd7f4924ebfabcf2e814c014
10,21,02d6a6b8a6da15fc219a9570f7ebbe78
11,14,02e440f6c209206375833cef02e0cbae
12,62,036f3d94e7c65e4e3574822d31c72656
13,24,039c5afbca8e03e4c18d9c8ea94140ac
14,43,039da9c077e17af98ca8530e4d7975f1
15,32,03f2b5c74cb89f39e58711699e76bf39
16,45,03f5278eb43475aa6790f5be32463755
17,8,0430df9a3eb327122c57ee3a64765000
18,13,04c4ffa5a385eab86fa7e422263d2999
19,29,04d686ef2fba281e395992a28f14fdd3
20,12,052bba06c5fc0bdea4bc2f9cb92b37c7
21,11,059ed570673c2d15ca11dd6b3a25513b
22,52,05addf442c147875efa5cf53453ad47b
23,14,05bad02e08c7f849e91dc1259da8b4ec
24,43,0656192a402808805282e60761bda088
25,7,06b1ba06e5505f8218ec8686498f990a
26,60,06c848ab3a7fc5421e82e98850a81710
27,39,07dd442e3e0b9f0f9b0d69c7b47cbb06
28,7,07e6a2fdaadc640cca9a7bec41351065
29,29,081d8ba3bc9a00a481df02bd9d0a4c53
30,15,0822973f3e812a68a867962dbbd37f5d
31,64,08a1491d6a804e0af969f08252ddbbd8
32,56,08b2b063cce8d02495c4b880293f153c
33,12,0938ed763cb3129ae63607aaf69daff5
34,6,0abc4faab8bbdf4d62412655fe0a2398
35,46,0afc0241296972b583debd7c5f5c707c
36,8,0b10af0ede0648dbe6ae05813c5cbf1b
37,60,0b631e16fa61f7321da18cf35a076d5f
38,56,0c02bd2b09f7193103279ab9b760b777
