,Total Late Night,Total Morning,Total Day,Total Night,,,,Percent Morning,Percent Day,Percent Night,Percent Late Night,Average Ride Revenue
0,62,49,46,120,,,,0.176895307,0.166064982,0.433212996,0.223826715,13.19490459
1,0,0,9,22,,,,0,0.290322581,0.709677419,0,10.72362736
2,2,4,5,23,,,,0.117647059,0.147058824,0.676470588,0.058823529,14.53649677
3,76,58,24,33,,,,0.303664921,0.12565445,0.172774869,0.397905759,13.85731184
4,0,235,140,0,,,,0.626666667,0.373333333,0,0,14.56892677
5,0,0,0,0,,,,0,0,0,0,0
6,82,0,3,155,,,,0,0.0125,0.645833333,0.341666667,12.43530309
7,0,5,20,28,,,,0.094339623,0.377358491,0.528301887,0,13.34419077
8,39,10,80,173,,,,0.033112583,0.264900662,0.572847682,0.129139073,14.37372545
9,1,127,178,57,,,,0.349862259,0.490358127,0.157024793,0.002754821,14.50989943
10,0,30,32,0,,,,0.483870968,0.516129032,0,0,25.32277205
11,11,5,11,29,,,,0.089285714,0.196428571,0.517857143,0.196428571,14.25591897
12,0,94,87,23,,,,0.460784314,0.426470588,0.112745098,0,14.70175794
13,3,0,0,35,,,,0,0,0.921052632,0.078947368,12.5900453
14,138,52,17,189,,,,0.131313131,0.042929293,0.477272727,0.348484848,12.67885112
15,0,15,173,35,,,,0.067264574,0.775784753,0.156950673,0,13.33730769
16,0,222,92,56,,,,0.6,0.248648649,0.151351351,0,13.44358338
17,0,0,8,35,,,,0,0.186046512,0.813953488,0,11.83211175
18,7,21,12,15,,,,0.381818182,0.218181818,0.272727273,0.127272727,16.56612172
19,21,225,63,9,,,,0.70754717,0.198113208,0.028301887,0.066037736,14.61282819
20,0,6,20,30,,,,0.107142857,0.357142857,0.535714286,0,13.41925191
21,0,10,20,2,,,,0.3125,0.625,0.0625,0,15.94966823
22,108,45,68,123,,,,0.130813953,0.197674419,0.35755814,0.313953488,14.49143219
23,15,1,7,23,,,,0.02173913,0.152173913,0.5,0.326086957,15.73850045
24,191,29,9,86,,,,0.092063492,0.028571429,0.273015873,0.606349206,14.46149936
25,1,11,25,7,,,,0.25,0.568181818,0.159090909,0.022727273,13.15998052
26,64,6,163,167,,,,0.015,0.4075,0.4175,0.16,12.53004621
27,6,60,126,94,,,,0.20979021,0.440559441,0.328671329,0.020979021,12.12616563
28,8,1,1,12,,,,0.045454545,0.045454545,0.545454545,0.363636364,11.79316657
29,1,6,168,17,,,,0.03125,0.875,0.088541667,0.005208333,11.53686529
30,30,0,0,6,,,,0,0,0.166666667,0.833333333,11.3679819
31,51,70,120,330,,,,0.122591944,0.210157618,0.57793345,0.089316988,14.5843703
32,7,109,242,164,,,,0.208812261,0.463601533,0.314176245,0.013409962,14.94825119
33,0,0,31,7,,,,0,0.815789474,0.184210526,0,10.42715949
34,14,0,0,32,,,,0,0,0.695652174,0.304347826,12.96644471
35,30,121,101,176,,,,0.28271028,0.235981308,0.411214953,0.070093458,13.35823803
36,22,0,1,15,,,,0,0.026315789,0.394736842,0.578947368,12.14313165
37,33,140,67,154,,,,0.355329949,0.170050761,0.390862944,0.083756345,13.9673829
38,0,221,83,26,,,,0.66969697,0.251515152,0.078787879,0,12.36468254
39,58,14,40,153,,,,0.052830189,0.150943396,0.577358491,0.218867925,12.32848923
40,0,0,14,26,,,,0,0.35,0.65,0,12.67698202
41,34,2,51,185,,,,0.007352941,0.1875,0.680147059,0.125,14.89238961
42,12,119,9,206,,,,0.343930636,0.026011561,0.595375723,0.034682081,12.67314254
43,9,4,10,22,,,,0.088888889,0.222222222,0.488888889,0.2,10.39636853
44,0,11,20,1,,,,0.34375,0.625,0.03125,0,18.82463812
45,80,104,101,183,,,,0.222222222,0.215811966,0.391025641,0.170940171,16.42353051
46,0,234,190,46,,,,0.49787234,0.404255319,0.09787234,0,13.04237941
47,1,12,198,217,,,,0.028037383,0.462616822,0.507009346,0.002336449,13.29555202
48,13,0,3,16,,,,0,0.09375,0.5,0.40625,16.62370821
49,0,39,1,0,,,,0.975,0.025,0,0,18.68652002
50,0,15,13,0,,,,0.535714286,0.464285714,0,0,11.49475343
51,0,4,17,20,,,,0.097560976,0.414634146,0.487804878,0,14.73689688
52,37,130,234,108,,,,0.25540275,0.459724951,0.212180747,0.072691552,11.87604353
53,6,259,182,200,,,,0.400309119,0.2812983,0.309119011,0.00927357,14.21169312
54,0,17,15,6,,,,0.447368421,0.394736842,0.157894737,0,13.2466942
55,9,9,16,5,,,,0.230769231,0.41025641,0.128205128,0.230769231,15.23441639
56,3,3,28,6,,,,0.075,0.7,0.15,0.075,12.95023453
57,81,0,90,371,,,,0,0.166051661,0.684501845,0.149446494,12.48323061
58,7,6,18,20,,,,0.117647059,0.352941176,0.392156863,0.137254902,14.00819261
59,0,0,0,0,,,,0,0,0,0,0
60,69,9,35,130,,,,0.037037037,0.144032922,0.534979424,0.283950617,12.49957273
61,0,0,0,0,,,,0,0,0,0,15.82954712
62,0,0,0,0,,,,0,0,0,0,0
63,4,8,3,9,,,,0.333333333,0.125,0.375,0.166666667,13.56659923
64,0,0,0,0,,,,0,0,0,0,0
65,11,0,1,17,,,,0,0.034482759,0.586206897,0.379310345,11.32760301
66,5,0,1,38,,,,0,0.022727273,0.863636364,0.113636364,11.07013628
67,0,0,0,0,,,,0,0,0,0,0
68,91,19,42,301,,,,0.041942605,0.092715232,0.664459161,0.200883002,13.42733659
69,1,10,8,22,,,,0.243902439,0.195121951,0.536585366,0.024390244,16.68639146
70,0,6,28,31,,,,0.092307692,0.430769231,0.476923077,0,13.17151824
71,125,54,92,77,,,,0.155172414,0.264367816,0.221264368,0.359195402,12.88168497
72,18,118,78,192,,,,0.290640394,0.192118227,0.472906404,0.044334975,13.0572902
73,0,0,0,0,,,,0,0,0,0,11.79612473
74,5,5,19,32,,,,0.081967213,0.31147541,0.524590164,0.081967213,15.84116787
75,0,95,404,183,,,,0.139296188,0.592375367,0.268328446,0,13.46574695
76,4,3,4,27,,,,0.078947368,0.105263158,0.710526316,0.105263158,10.28338084
77,45,2,0,7,,,,0.037037037,0,0.12962963,0.833333333,16.47211088
78,15,0,0,6,,,,0,0,0.285714286,0.714285714,13.0999977
79,57,55,59,116,,,,0.191637631,0.205574913,0.404181185,0.198606272,12.63034047
80,0,0,1,36,,,,0,0.027027027,0.972972973,0,15.01228696
81,4,6,23,21,,,,0.111111111,0.425925926,0.388888889,0.074074074,14.50211016
82,40,64,23,129,,,,0.25,0.08984375,0.50390625,0.15625,13.76256795
83,12,0,6,14,,,,0,0.1875,0.4375,0.375,22.50292114
84,14,106,137,182,,,,0.241457859,0.312072893,0.414578588,0.031890661,12.77947266
85,6,0,5,34,,,,0,0.111111111,0.755555556,0.133333333,18.41047812
86,5,9,60,305,,,,0.023746702,0.158311346,0.80474934,0.013192612,13.03166804
87,0,100,190,6,,,,0.337837838,0.641891892,0.02027027,0,16.73401886
88,12,3,2,9,,,,0.115384615,0.076923077,0.346153846,0.461538462,13.55609699
89,0,185,17,145,,,,0.53314121,0.048991354,0.417867435,0,13.79360426
90,25,15,121,89,,,,0.06,0.484,0.356,0.1,13.79646094
91,272,26,26,413,,,,0.035278155,0.035278155,0.560379919,0.369063772,11.76283076
92,11,26,116,101,,,,0.102362205,0.456692913,0.397637795,0.043307087,19.62913763
93,5,64,85,134,,,,0.222222222,0.295138889,0.465277778,0.017361111,16.93051898
94,21,60,61,69,,,,0.28436019,0.289099526,0.327014218,0.099526066,12.86797345
95,122,32,179,287,,,,0.051612903,0.288709677,0.462903226,0.196774194,12.48314024
96,4,7,7,29,,,,0.14893617,0.14893617,0.617021277,0.085106383,15.46205324
97,0,11,17,13,,,,0.268292683,0.414634146,0.317073171,0,13.1714999
98,151,29,90,197,,,,0.062098501,0.192719486,0.421841542,0.323340471,13.14000722
99,0,1,10,16,,,,0.037037037,0.37037037,0.592592593,0,12.06816645
100,0,0,0,0,,,,0,0,0,0,11.93605239
101,1,0,10,32,,,,0,0.23255814,0.744186047,0.023255814,11.55539369
102,111,171,16,98,,,,0.431818182,0.04040404,0.247474747,0.28030303,12.98398295
103,70,10,52,169,,,,0.033222591,0.172757475,0.561461794,0.23255814,14.05880713
104,46,13,32,225,,,,0.041139241,0.101265823,0.712025316,0.14556962,16.37341398
105,1,183,224,159,,,,0.322751323,0.395061728,0.28042328,0.001763668,12.62500383
106,6,39,33,141,,,,0.178082192,0.150684932,0.643835616,0.02739726,13.62880081
107,0,0,0,0,,,,0,0,0,0,0
108,8,1,0,19,,,,0.035714286,0,0.678571429,0.285714286,12.56460315
109,4,9,5,17,,,,0.257142857,0.142857143,0.485714286,0.114285714,9.269872219
110,2,11,108,142,,,,0.041825095,0.410646388,0.539923954,0.007604563,13.72587092
111,0,13,29,2,,,,0.295454545,0.659090909,0.045454545,0,11.84999013
112,0,3,31,11,,,,0.066666667,0.688888889,0.244444444,0,12.34065832
113,24,84,145,142,,,,0.212658228,0.367088608,0.359493671,0.060759494,14.017202
114,45,154,41,311,,,,0.279491833,0.074410163,0.564428312,0.081669691,12.94557318
115,91,33,88,158,,,,0.089189189,0.237837838,0.427027027,0.245945946,14.04797562
116,1,23,13,2,,,,0.58974359,0.333333333,0.051282051,0.025641026,16.98529676
117,11,0,1,29,,,,0,0.024390244,0.707317073,0.268292683,16.2682973
118,83,7,23,129,,,,0.02892562,0.095041322,0.533057851,0.342975207,15.09367962
